ID_firm_anonym,weights1_all_sample,weights2_3600,weights2_all,lis_e34
F0691,3.04659485816956,4.63925886154175,3.90636992454529,50000
F0693,4.24208116531372,6.78930282592773,5.37417078018188,80000
F0697,4.73684215545654,7.58115005493164,6.00096845626831,32000
F0700,4.79105663299561,7.66791915893555,6.06965208053589,18000
F0703,6.52116012573242,10.4368886947632,8.26146984100342,120000
F0704,6.5789475440979,10.5293750762939,8.33467864990234,50000
F0709,6.25,10.0029067993164,7.91794490814209,50000
F0711,2.82258057594299,4.29813718795776,3.61913704872131,70000
F0715,5.06072902679443,8.09951972961426,6.41129207611084,150000
F0717,18.4615383148193,29.547046661377,23.3883895874023,21800
F0720,21.25,34.0098838806152,26.921012878418,15000
F0726,2.26244354248047,3.62096166610718,2.86622452735901,10000
F0728,10.6787328720093,17.0909385681152,13.5285787582397,33000
F0729,3.22580647468567,4.91215658187866,4.13615655899048,40000
F0733,3.11085963249207,4.97882223129272,3.94105839729309,30000
F0734,3.22580647468567,4.91215658187866,4.13615655899048,200000
F0735,3.22580647468567,4.91215658187866,4.13615655899048,30000
F0737,3.22580647468567,4.91215658187866,4.13615655899048,50000
F0738,4.25871706008911,6.81592798233032,5.39524602890015,45000
F0740,16.153844833374,25.8536643981934,20.4648418426514,50000
F0741,6.38807582855225,10.2238922119141,8.09286880493164,75000
F0745,17.6923084259033,28.3159217834473,22.413875579834,30000
F0746,4.24208116531372,6.78930282592773,5.37417078018188,50000
F0747,6.12190580368042,9.79789638519287,7.75566625595093,50000
F0749,18.8235282897949,30.1263999938965,23.8469867706299,40000
F0756,3.94736838340759,6.31762504577637,5.00080728530884,12000
F0757,3.67647051811218,5.88406229019165,4.65761470794678,20000
F0758,4.25871706008911,6.81592798233032,5.39524602890015,15000
F0759,16.9230766296387,27.0847949981689,21.439359664917,24000
F0768,3.39366507530212,5.43144226074219,4.29933643341064,56000
F0769,3.22580647468567,4.91215658187866,4.13615655899048,21000
F0770,5.19031143188477,8.30691242218018,6.57545614242554,100000
F0774,4.52488708496094,7.24192333221436,5.73244905471802,40000
F0776,4.24208116531372,6.78930282592773,5.37417078018188,200000
F0781,23.529411315918,37.6580009460449,29.8087329864502,100000
F0782,2.63157892227173,4.21175003051758,3.33387160301209,40000
F0784,2.26244354248047,3.62096166610718,2.86622452735901,70000
F0790,4.60526323318481,7.37056255340576,5.8342752456665,186000
F0791,2.82258057594299,4.29813718795776,3.61913704872131,20000
F0792,3.82875061035156,6.1277813911438,4.85053396224976,75000
F0795,2.9032256603241,4.42094087600708,3.72254085540771,30000
F0804,4.17681837081909,6.6848521232605,5.29149103164673,10000
F0807,3.39366507530212,5.43144226074219,4.29933643341064,60000
F0808,4.79876136779785,7.68025016784668,6.07941293716431,80000
F0809,12,19.2055816650391,15.2024545669556,30000
F0811,4.00278472900391,6.40631723403931,5.07101249694824,15000
F0812,13.7499990463257,22.0063934326172,17.4194774627686,20000
F0819,2.68817186355591,4.09346389770508,3.44679713249207,25000
F0821,16.9230766296387,27.0847949981689,21.439359664917,50000
F0822,24.1176471710205,38.5994529724121,30.5539531707764,15000
F0823,3.22580647468567,4.91215658187866,4.13615655899048,100000
F0825,10,16.0046501159668,12.6687116622925,20000
F0826,5.87044525146484,9.39544296264648,7.43709850311279,15000
F0834,3.39366507530212,5.43144226074219,4.29933643341064,30000
F0835,2.41935467720032,3.68411755561829,3.10211753845215,10000
F0840,4.52488708496094,7.24192333221436,5.73244905471802,15000
F0842,2.82258057594299,4.29813718795776,3.61913704872131,20000
F0846,2.82258057594299,4.29813718795776,3.61913704872131,295500
F0848,3.82875061035156,6.1277813911438,4.85053396224976,20000
F0849,3.22580647468567,4.91215658187866,4.13615655899048,100000
F0850,4.85829925537109,7.77553844451904,6.15483951568604,30000
F0852,18.235294342041,29.1849498748779,23.1017684936523,40000
F0861,3.04659485816956,4.63925886154175,3.90636992454529,150000
F0862,3.39366507530212,5.43144226074219,4.29933643341064,90000
F0865,5.66801643371582,9.07146263122559,7.1806468963623,25000
F0867,6.8111457824707,10.9010009765625,8.62884426116943,154000
F0869,2.9032256603241,4.42094087600708,3.72254085540771,30000
F0870,4.52488708496094,7.24192333221436,5.73244905471802,16500
F0875,28.235294342041,45.1896018981934,35.7704811096191,30000
F0876,4.85829925537109,7.77553844451904,6.15483951568604,21000
F0885,4.52488708496094,7.24192333221436,5.73244905471802,15000
F0889,4.25101184844971,6.80359649658203,5.38548469543457,30000
F0890,21.5384616851807,34.4715576171875,27.2864570617676,40000
F0891,3.82875061035156,6.1277813911438,4.85053396224976,35000
F0895,6.07287454605103,9.71942329406738,7.69355010986328,100000
F0897,18.7499980926514,30.0087184906006,23.753833770752,50500
F0899,2.63157892227173,4.21175003051758,3.33387160301209,25000
F0901,21.25,34.0098838806152,26.921012878418,23000
F0902,2.71493220329285,4.34515428543091,3.43946933746338,12000
