"","ID_firm_anonym","end_G17"
"628","F2685",5000
"629","F2688",70000
"630","F2691",150000
"631","F2693",15000
"632","F2696",80000
"633","F2699",18000
"634","F2706",20000
"635","F2716",7000
"636","F2723",5000
"637","F2724",60000
"638","F2727",36500
"639","F2741",30000
"640","F2745",120000
"641","F2748",30000
"642","F2756",75000
"643","F2761",10000
"644","F2769",-88
"645","F2781",30000
"646","F2782",0
"647","F2785",60000
"648","F2787",8000
"649","F2790",10000
"650","F2791",30000
"651","F2795",40000
"652","F2799",195000
"653","F2805",1e+05
"654","F2806",20000
"655","F2807",4e+05
"656","F2810",60000
"657","F2821",-15000
"658","F2828",120000
"659","F2833",10000
"660","F2838",30000
"661","F2841",110000
"662","F2847",150000
"663","F2855",5000
"664","F2860",35000
"665","F2870",20000
"666","F2871",30000
"667","F2872",90000
"668","F2875",1e+05
"669","F2880",25000
"670","F2882",10000
"671","F2885",56000
"672","F2889",70000
"673","F2890",40000
"674","F2894",60000
"675","F2896",10000
"676","F2901",12000
"677","F2903",20000
"678","F2906",1e+05
"679","F2912",30000
"680","F2915",20000
"681","F2927",12000
"682","F2929",30000
"683","F2930",60000
"684","F2934",45000
"685","F2940",90000
"686","F2941",15000
"687","F2949",20000
"688","F2950",10000
"689","F2953",17000
"690","F2954",3e+05
"691","F2957",0
"692","F2961",15000
"693","F2969",42500
"694","F2972",15000
"695","F2983",46000
"696","F2985",15000
"697","F2992",225000
"698","F2993",110000
"699","F2999",60000
"700","F3006",30000
"701","F3010",35000
"702","F3012",160000
"703","F3015",10000
"704","F3019",4e+05
"705","F3020",20000
"706","F3024",20000
"707","F3032",30000
"708","F3036",0
"709","F3043",50000
"710","F3050",15000
"711","F3059",120000
"712","F3060",15000
"713","F3066",15000
"714","F3067",45000
"715","F3070",20000
"716","F3073",15000
"717","F3074",0
"718","F3075",2e+05
"719","F3076",70000
"720","F3089",59000
"721","F3095",50000
"722","F3096",60000
"723","F3103",3e+05
"724","F3107",0
"725","F3109",390000
"726","F3110",30000
"727","F3124",64000
"728","F3125",25000
"729","F3129",0
"730","F3130",80000
"731","F3131",0
"732","F3133",63000
"733","F3134",45000
"734","F3140",60000
"735","F3144",5000
"736","F3146",7000
"737","F3155",0
"738","F3159",25000
"739","F3163",60000
"740","F3166",50000
"741","F3174",30000
"742","F3181",75000
"743","F3185",35000
"744","F3191",1e+05
"745","F3196",20000
"746","F3207",40000
"747","F3212",0
"748","F3213",40000
"749","F3217",60000
"750","F3220",8000
"751","F3225",160000
"752","F3239",2e+05
"753","F3242",30000
"754","F3253",72000
"755","F3254",45000
"756","F3255",120000
"757","F3258",15000
"758","F3259",150000
"759","F3263",6000
"760","F3269",60000
"761","F3270",35000
"762","F3277",30000
"763","F3278",0
"764","F3285",20000
"765","F3287",25000
"766","F3288",45000
"767","F3293",-40000
"768","F3294",35000
"769","F3299",2e+05
"770","F3302",175000
"771","F3303",0
"772","F3304",12000
"773","F3305",30000
"774","F3309",70000
"775","F3313",1e+05
"776","F3318",40000
"777","F3319",1e+05
"778","F3327",2e+05
"779","F3330",70000
"780","F3331",80000
"781","F3333",0
"782","F3337",1e+05
"783","F3339",36000
"784","F3347",15000
"785","F3355",15000
"786","F3357",40000
"787","F3361",60000
"788","F3366",30000
"789","F3371",20000
"790","F3376",21000
"791","F3382",68000
"792","F3390",2e+05
"793","F3400",15000
"794","F3401",45000
"795","F3408",156000
"796","F3416",60000
"797","F3426",25000
"798","F3429",30000
"799","F3433",20000
"800","F3437",75000
"801","F3442",7200
"802","F3444",30000
"803","F3447",5000
"804","F3464",150000
"805","F3465",150000
"806","F3473",4000
"807","F3474",24000
"808","F3475",75000
"809","F3476",50000
"810","F3477",20800
"811","F3479",40000
"812","F3483",12000
"813","F3487",85000
"814","F3494",15000
"815","F3499",15000
"816","F3504",10000
"817","F3513",2e+05
"818","F3519",50000
"819","F3520",150000
"820","F3530",96000
"821","F3531",3000
"822","F3532",30000
"823","F3536",10000
"824","F3556",60000
"825","F3560",20000
"826","F3563",80000
"827","F3566",50000
"828","F3567",-15000
"829","F3568",60000
"830","F3573",20000
"831","F3574",35000
"832","F3579",30000
"833","F3581",0
"834","F3582",25000
"835","F3586",24000
"836","F3589",5000
"837","F3590",40000
"838","F3602",40000
"839","F3603",30000
"840","F3606",65000
"841","F3609",75000
"842","F3611",70000
"843","F3617",40000
"844","F3621",20000
"845","F3624",35000
"846","F3629",75000
"847","F3638",40000
"848","F3639",120000
"849","F3643",0
"850","F3644",56300
"851","F3645",0
"852","F3659",150000
"853","F3669",32000
"854","F3670",150000
"855","F3672",150000
"856","F3673",105000
"857","F3680",30000
"858","F3686",1e+05
"859","F3687",15500
"860","F3693",15000
"861","F3695",3500000
"862","F3703",650000
"863","F3704",28000
"864","F3715",88000
"865","F3717",0
"866","F3723",40000
"867","F3727",50000
"868","F3729",79000
"869","F3734",8000
"870","F3736",0
"871","F3738",70000
"872","F3743",30000
"873","F3749",120000
"874","F3755",27000
"875","F3762",20000
"876","F3775",56000
"877","F3776",30000
"878","F3779",150000
"879","F3782",30000
"880","F3783",84000
"881","F3789",10000
"882","F3794",0
"883","F3800",35000
"884","F3802",30000
"885","F3803",50000
"886","F3811",10000
"887","F3818",0
"888","F3819",48000
"889","F3822",90000
"890","F3824",10000
"891","F3836",211000
"892","F3839",45000
"893","F3840",350000
"894","F3843",15000
"895","F3844",30000
"896","F3845",5000
"897","F3848",20000
"898","F3849",72000
"899","F3855",60000
"900","F3864",1e+05
"901","F3865",20000
"902","F3872",20000
"903","F3875",120000
"904","F3876",40000
"905","F3880",1e+05
"906","F3884",12000
"907","F3892",15000
"908","F3893",60000
"909","F3894",60000
"910","F3896",30000
"911","F3897",0
"912","F3901",90000
"913","F3904",5e+05
"914","F3910",5000
"915","F3913",70000
"916","F3917",35000
"917","F3922",20000
"918","F3927",18000
"919","F3933",70000
"920","F3934",50000
"921","F3937",6000
"922","F3939",40000
"923","F3946",70000
"924","F3947",85000
"925","F3956",28000
"926","F3957",30000
"927","F3963",20000
"928","F3965",6000
"929","F3968",72000
"930","F3971",40000
"931","F3981",47000
"932","F3984",130000
"933","F3985",350000
"934","F3990",40000
"935","F3991",70000
"936","F3992",0
"937","F3997",120000
"938","F4007",150000
"939","F4008",4000
"940","F4009",1e+05
"941","F4015",10000
"942","F4021",1e+05
"943","F4024",70000
"944","F4029",25000
"945","F4031",240000
"946","F4033",3e+05
"947","F4036",20000
"948","F4039",15000
"949","F4040",90000
"950","F4042",30000
"951","F4043",20000
"952","F4049",30000
"953","F4050",17000
"954","F4067",15000
"955","F4069",10000
"956","F4075",25000
"957","F4076",21200
"958","F4077",50000
"959","F4083",2800
"960","F4085",72000
"961","F4087",7000
"962","F4090",4800
"963","F4092",30000
"964","F4103",60000
"965","F4108",25000
"966","F4117",120000
"967","F4118",1e+05
"968","F4120",12000
"969","F4123",15000
"970","F4124",15000
"971","F4131",30500
"972","F4133",12000
"973","F4136",60000
"974","F4138",1e+05
"975","F4139",60000
"976","F4147",50000
"977","F4149",50000
"978","F4157",17000
"979","F4159",80000
"980","F4162",50000
"981","F4169",8000
"982","F4200",35000
"983","F4201",20000
"984","F4205",90000
"985","F4210",1000
"986","F4214",60000
"987","F4221",95000
"988","F4224",52000
"989","F4225",5000
"990","F4238",10000
"991","F4250",75000
"992","F4256",20000
"993","F4260",25600
"994","F4261",50000
"995","F4262",0
"996","F4266",60000
"997","F4267",35500
"998","F4269",50000
"999","F4276",10000
"1000","F4282",68000
"1001","F4283",30000
"1002","F4284",93000
"1003","F4287",1e+05
"1004","F4290",4e+05
"1005","F4294",10000
"1006","F4301",15000
"1007","F4302",15000
"1008","F4312",250000
"1009","F4315",20000
"1010","F4319",27000
"1011","F4320",120000
"1012","F4323",0
"1013","F4327",35000
"1014","F4328",84000
"1015","F4331",10000
"1016","F4335",80000
"1017","F4336",80000
"1018","F4342",15000
"1019","F4344",50000
"1020","F4347",0
"1021","F4351",60000
"1022","F4383",10000
"1023","F4386",3000
"1024","F4393",20000
"1025","F4399",90000
"1026","F4406",425000
"1027","F4407",1e+05
"1028","F4408",80000
"1029","F4410",40000
"1030","F4413",0
"1031","F4417",1e+05
"1032","F4418",30000
"1033","F4421",5000
"1034","F4423",240000
"1035","F4424",90000
"1036","F4429",12000
"1037","F4437",50000
"1038","F4440",338000
"1039","F4441",75000
"1040","F4446",12500
"1041","F4447",2e+05
"1042","F4457",10500
"1043","F4469",150000
"1044","F4473",50000
"1045","F4476",60000
"1046","F4492",20000
"1047","F4499",40000
"1048","F4501",25000
"1049","F4505",12000
"1050","F4507",20000
"1051","F4516",5000
"1052","F4520",15000
"1053","F4523",15000
"1054","F4531",18000
"1055","F4542",30000
"1056","F4544",2e+05
"1057","F4545",15000
"1058","F4547",30000
"1059","F4557",30000
"1060","F4559",0
"1061","F4569",25000
"1062","F4571",30000
"1063","F4579",42800
"1064","F4581",2e+05
"1065","F4583",10000
"1066","F4586",3000
"1067","F4588",80000
"1068","F4591",10000
"1069","F4595",2e+05
"1070","F4596",25000
"1071","F4599",1e+05
"1072","F4600",330000
"1073","F4612",1e+05
"1074","F4613",150000
"1075","F4615",20000
"1076","F4619",20000
"1077","F4621",6e+05
"1078","F4623",2300
"1079","F4629",40000
"1080","F4631",20000
"1081","F4634",11000
"1082","F4635",18000
"1083","F4639",80000
"1084","F4648",50000
"1085","F4658",20000
"1086","F4669",150000
"1087","F4670",50000
"1088","F4674",32000
"1089","F4680",90000
"1090","F4683",20000
"1091","F4685",50000
"1092","F4686",150000
"1093","F4687",1e+05
"1094","F4688",0
"1095","F4691",80000
"1096","F4692",2000
"1097","F4694",35000
"1098","F4698",35000
"1099","F4701",75000
"1100","F4702",48000
"1101","F4703",1000
"1102","F4710",25000
"1103","F4719",57000
"1104","F4720",120000
"1105","F4723",15000
"1106","F4724",30000
"1107","F4743",40000
"1108","F4747",4800
"1109","F4749",20065
"1110","F4752",120000
"1111","F4758",20000
"1112","F4759",15000
"1113","F4760",35000
"1114","F4762",4000
"1115","F4763",15000
"1116","F4765",12000
"1117","F4772",35000
"1118","F4777",5000
"1119","F4779",40000
"1120","F4783",150000
"1121","F4789",60000
"1122","F4794",20000
"1123","F4799",20000
"1124","F4801",22000
"1125","F4806",70000
"1126","F4807",50000
"1127","F4811",150000
"1128","F4826",25200
"1129","F4827",50000
"1130","F4828",30000
"1131","F4831",67000
"1132","F4832",15000
"1133","F4841",70000
"1134","F4845",6500000
"1135","F4847",160000
"1136","F4850",20000
"1137","F4851",12000
"1138","F4856",65000
"1139","F4861",60000
"1140","F4863",1e+05
"1141","F4866",20000
"1142","F4867",50000
"1143","F4871",20000
"1144","F4877",25000
"1145","F4881",160000
"1146","F4883",50000
"1147","F4884",30000
"1148","F4895",15000
"1149","F4903",25000
"1150","F4909",20000
"1151","F4910",40000
"1152","F4913",20000
"1153","F4917",30000
"1154","F4921",1e+05
"1155","F4943",25000
"1156","F4944",10000
"1157","F4946",70000
"1158","F4953",30000
"1159","F4956",0
"1160","F4959",55000
"1161","F4962",1e+05
"1162","F4976",45000
"1163","F4977",18000
"1164","F4978",35000
"1165","F4980",1e+05
